spanish,german,unit
hola,hallo,0
adiós,auf Wiedersehen,0
buenos días,guten Morgen,0
buenas tardes,guten Tag,0
buenas noches,gute Nacht,0
¿qué tal?,wie geht's?,0
bien,gut,0
mal,schlecht,0
regular,es geht,0
gracias,danke,0
de nada,bitte,0
por favor,bitte sehr,0
perdón,Entschuldigung,0
lo siento,es tut mir leid,0
sí,ja,0
no,nein,0
mucho gusto,sehr erfreut,0
encantado,angenehm,0
el amigo,der Freund,1
la amiga,die Freundin,1
el padre,der Vater,1
la madre,die Mutter,1
el hermano,der Bruder,1
la hermana,die Schwester,1
el abuelo,der Großvater,1
la abuela,die Großmutter,1
el tío,der Onkel,1
la tía,die Tante,1
el primo,der Cousin,1
la prima,die Cousine,1
el hijo,der Sohn,1
la hija,die Tochter,1
el nieto,der Enkel,1
la nieta,die Enkelin,1
el hombre,der Mann,1
la mujer,die Frau,1
el niño,das Kind,1
el chico,der Junge,1
la chica,das Mädchen,1
el bebé,das Baby,1
la familia,die Familie,1
joven,jung,1
viejo,alt,1
alto,groß,1
bajo,klein,1
guapo,hübsch,1
feo,hässlich,1
simpático,sympathisch,1
antipático,unsympathisch,1
inteligente,intelligent,1
tonto,dumm,1
ser,sein,1
tener,haben,1
llamarse,heißen,1
¿Cómo te llamas?,Wie heißt du?,1
¿Cuántos años tienes?,Wie alt bist du?,1
¿De dónde eres?,Woher kommst du?,1
el libro,das Buch,2
el cuaderno,das Heft,2
el lápiz,der Bleistift,2
el bolígrafo,der Kugelschreiber,2
la pluma,der Füller,2
la goma,der Radiergummi,2
la regla,das Lineal,2
las tijeras,die Schere,2
la mochila,der Rucksack,2
el estuche,das Federmäppchen,2
la carpeta,der Ordner,2
el papel,das Papier,2
el diccionario,das Wörterbuch,2
la pizarra,die Tafel,2
la tiza,die Kreide,2
el rotulador,der Filzstift,2
el escritorio,der Schreibtisch,2
la silla,der Stuhl,2
la mesa,der Tisch,2
la ventana,das Fenster,2
la puerta,die Tür,2
el reloj,die Uhr,2
el ordenador,der Computer,2
la clase,die Klasse,2
el aula,das Klassenzimmer,2
el colegio,die Schule,2
la universidad,die Universität,2
las matemáticas,die Mathematik,2
la historia,die Geschichte,2
la geografía,die Erdkunde,2
las ciencias,die Naturwissenschaften,2
la física,die Physik,2
la química,die Chemie,2
la biología,die Biologie,2
la música,die Musik,2
el arte,die Kunst,2
la educación física,der Sport,2
el recreo,die Pause,2
el examen,die Prüfung,2
la nota,die Note,2
estudiar,lernen,2
aprender,lernen,2
enseñar,lehren,2
leer,lesen,2
escribir,schreiben,2
hablar,sprechen,2
escuchar,hören,2
preguntar,fragen,2
responder,antworten,2
la casa,das Haus,3
el piso,die Wohnung,3
la habitación,das Zimmer,3
el dormitorio,das Schlafzimmer,3
el salón,das Wohnzimmer,3
la cocina,die Küche,3
el baño,das Badezimmer,3
el comedor,das Esszimmer,3
el pasillo,der Flur,3
el garaje,die Garage,3
el jardín,der Garten,3
el balcón,der Balkon,3
la terraza,die Terrasse,3
el suelo,der Boden,3
la pared,die Wand,3
la escalera,die Treppe,3
el ascensor,der Aufzug,3
la cama,das Bett,3
el armario,der Schrank,3
la estantería,das Regal,3
el sofá,das Sofa,3
el sillón,der Sessel,3
la lámpara,die Lampe,3
la alfombra,der Teppich,3
el espejo,der Spiegel,3
la televisión,der Fernseher,3
el frigorífico,der Kühlschrank,3
el horno,der Ofen,3
el microondas,die Mikrowelle,3
la lavadora,die Waschmaschine,3
la ducha,die Dusche,3
la bañera,die Badewanne,3
el lavabo,das Waschbecken,3
el inodoro,die Toilette,3
vivir,wohnen,3
mudarse,umziehen,3
limpiar,putzen,3
ordenar,aufräumen,3
cocinar,kochen,3
el lunes,der Montag,4
el martes,der Dienstag,4
el miércoles,der Mittwoch,4
el jueves,der Donnerstag,4
el viernes,der Freitag,4
el sábado,der Samstag,4
el domingo,der Sonntag,4
la semana,die Woche,4
el fin de semana,das Wochenende,4
hoy,heute,4
ayer,gestern,4
mañana,morgen,4
enero,Januar,4
febrero,Februar,4
marzo,März,4
